AreaManagerId,FareCalculationCode,StartDateFarePart,StartDurationFarePart,EndDurationFarePart,AmountFarePart,StepSizeFarePart,EndDateFarePart,AmountCumulative
268,TER02,20131002,240,999999,1.25000000,60,29991231,4.30000000
200,GAR10,20170201,0,999999,0.00833333,1,20170220,0.00000000
2062,GAR16,20131030,0,999999,0.50000000,22,29991231,0.00000000
2451,WEEKK18E,20130917,0,999999,18.00000000,10080,29991231,0.00000000
512,TAR01,20140903,0,999999,0.03333333,1,29991231,0.00000000
90,GAR04,20200714,0,999999,3.50000000,1440,29991231,0.00000000
758,GAR03,20130926,0,999999,10.00000000,1440,29991231,0.00000000
1729,TAR01,20131024,0,999999,0.20000000,10,29991231,0.00000000
505,GAR12,20200714,0,999999,2.50000000,1440,29991231,0.00000000
361,REG16,20200201,60,168,0.03266667,1,29991231,0.00000000
2449,GAR36,20131108,0,10,1.00000000,10,20140901,0.00000000
983,GAR05,20131003,0,999999,5.10000000,780,20140101,0.00000000
361,REG05,20200201,0,108,0.03266667,1,29991231,0.00000000
1708,TAR01,20131018,0,999999,0.80000000,60,29991231,0.00000000
575,TAR02,20131024,0,120,1.00000000,60,29991231,0.00000000
513,TER02,20131024,0,999999,0.20000000,9,29991231,0.00000000
2463,GAR13,20131111,0,999999,11.00000000,1440,20140101,0.00000000
1900,GAR01,20131011,0,999999,1.00000000,60,20140630,0.00000000
166,TAR01,20130101,0,999999,0.11000000,6,20140101,0.00000000
928,TAR01,20120620,0,999999,0.90000000,60,20140101,0.00000000
2462,TER02,20131114,0,999999,6.00000000,1440,29991231,0.00000000
394,HFD_NS,20130730,2880,999999,0.10750000,1,20130731,5.44999680
200,GAR13,20170203,0,999999,55.20000000,720,20170220,0.00000000
203,TAR04,20121001,20,45,0.00800000,1,29991231,0.10000000
394,HFD_A_WK,20130626,0,999999,148.00000000,10080,20131006,0.00000000
345,GAR02,20131105,0,999999,12.50000000,1440,29991231,0.00000000
394,HFD_ZONEB,20130626,300,360,0.03636400,1,20131001,7.10274000
394,HFD_NS,20130730,0,2880,0.00189236,1,20130731,0.00000000
200,GAR12,20150701,0,999999,8.50000000,720,20170201,0.00000000
